,Rock,Indie,Pop,Romantic,Folk,Grunge,Jazz,Classic,New Wave,Rap,Hip Hop,Metal,Heavy Metal,Country,Hardcore,Rockabilly,Blues,R&B,Soul,Dance,Gospel,Funk,Emocore,Punk,Psychedelic music,Classic Rock,House,Electronica,Progressive Music,Trip-Hop,Disco,Soundtack,Reggae,Surf Music,Children's music,Industrial,Trance,Ska,Instrumental,Chillout,Tropical House,Post-Rock,Lo-fi,Black Music,Reggaeton,World Music
shake,1528.0,189.0,1568.0,257.0,94.0,21.0,35.0,4.0,11.0,726.0,879.0,5.0,133.0,75.0,120.0,105.0,164.0,564.0,148.0,347.0,109.0,122.0,10.0,23.0,28.0,14.0,42.0,290.0,19.0,9.0,116.0,167.0,56.0,7.0,38.0,7.0,4.0,5.0,2.0,15.0,,,,,7.0,
hair,1117.0,247.0,808.0,233.0,177.0,17.0,40.0,7.0,26.0,287.0,308.0,4.0,122.0,157.0,47.0,40.0,113.0,217.0,80.0,156.0,20.0,29.0,12.0,32.0,63.0,11.0,13.0,64.0,30.0,4.0,24.0,107.0,9.0,30.0,7.0,10.0,,6.0,7.0,3.0,1.0,1.0,,,1.0,
fun,1540.0,259.0,976.0,190.0,89.0,24.0,66.0,11.0,34.0,279.0,311.0,2.0,138.0,109.0,97.0,63.0,93.0,288.0,115.0,347.0,22.0,54.0,5.0,56.0,27.0,18.0,45.0,147.0,21.0,12.0,37.0,130.0,54.0,25.0,55.0,3.0,2.0,21.0,8.0,5.0,,,,,1.0,
forget,2453.0,372.0,1508.0,485.0,218.0,75.0,115.0,54.0,33.0,436.0,531.0,8.0,349.0,186.0,158.0,65.0,97.0,401.0,157.0,406.0,75.0,33.0,74.0,61.0,38.0,18.0,17.0,128.0,49.0,23.0,57.0,107.0,53.0,38.0,4.0,21.0,33.0,14.0,14.0,30.0,1.0,3.0,2.0,,1.0,
mothers,289.0,55.0,102.0,43.0,54.0,5.0,13.0,4.0,10.0,78.0,81.0,,49.0,35.0,11.0,1.0,10.0,37.0,21.0,24.0,12.0,5.0,,2.0,10.0,7.0,1.0,7.0,11.0,,11.0,10.0,7.0,3.0,2.0,8.0,1.0,2.0,1.0,2.0,,5.0,,,,
past,2017.0,316.0,737.0,255.0,181.0,43.0,24.0,9.0,41.0,393.0,433.0,8.0,515.0,170.0,180.0,36.0,63.0,204.0,70.0,152.0,84.0,23.0,30.0,24.0,42.0,27.0,30.0,107.0,93.0,28.0,38.0,71.0,43.0,20.0,3.0,13.0,12.0,26.0,17.0,17.0,,,1.0,,,
lovers,607.0,139.0,437.0,150.0,74.0,18.0,55.0,9.0,33.0,40.0,64.0,,57.0,71.0,10.0,7.0,24.0,141.0,88.0,100.0,4.0,18.0,4.0,2.0,10.0,14.0,17.0,53.0,20.0,5.0,52.0,44.0,7.0,4.0,,2.0,1.0,4.0,7.0,3.0,1.0,3.0,,,,
everyone,1990.0,370.0,828.0,293.0,121.0,100.0,32.0,10.0,30.0,208.0,202.0,5.0,208.0,84.0,125.0,14.0,39.0,124.0,77.0,194.0,69.0,9.0,29.0,47.0,38.0,17.0,17.0,62.0,66.0,25.0,21.0,68.0,53.0,20.0,19.0,12.0,3.0,17.0,12.0,2.0,1.0,,4.0,,,
ooh,3119.0,776.0,3523.0,1082.0,328.0,47.0,59.0,17.0,26.0,962.0,1594.0,,274.0,292.0,27.0,68.0,148.0,1891.0,790.0,1167.0,123.0,355.0,23.0,54.0,62.0,54.0,101.0,572.0,71.0,39.0,261.0,243.0,58.0,41.0,30.0,1.0,23.0,50.0,41.0,42.0,14.0,,,,,
lucky,583.0,89.0,427.0,145.0,70.0,8.0,49.0,9.0,14.0,92.0,108.0,,43.0,57.0,16.0,29.0,36.0,77.0,35.0,97.0,27.0,7.0,2.0,10.0,7.0,2.0,32.0,69.0,9.0,2.0,32.0,72.0,5.0,17.0,,,4.0,2.0,,1.0,,,,,,
best,2953.0,546.0,2092.0,651.0,294.0,47.0,127.0,46.0,67.0,1135.0,1151.0,3.0,325.0,274.0,148.0,71.0,134.0,667.0,231.0,435.0,164.0,74.0,90.0,85.0,42.0,26.0,40.0,209.0,78.0,17.0,63.0,193.0,67.0,49.0,39.0,19.0,5.0,35.0,6.0,25.0,4.0,,5.0,,1.0,
friend,2711.0,497.0,1283.0,354.0,261.0,39.0,64.0,23.0,34.0,433.0,588.0,3.0,354.0,254.0,132.0,64.0,151.0,439.0,178.0,261.0,141.0,42.0,27.0,63.0,53.0,26.0,33.0,166.0,86.0,30.0,58.0,162.0,83.0,44.0,34.0,19.0,11.0,22.0,14.0,11.0,2.0,,11.0,,,
one,22317.0,3104.0,13160.0,3888.0,1717.0,415.0,627.0,194.0,364.0,5631.0,6848.0,70.0,4060.0,1902.0,1289.0,463.0,934.0,4731.0,1833.0,3224.0,1258.0,502.0,402.0,313.0,299.0,251.0,404.0,1676.0,738.0,201.0,614.0,1184.0,708.0,372.0,104.0,124.0,73.0,189.0,180.0,201.0,15.0,2.0,19.0,,12.0,
knows,2539.0,463.0,1267.0,443.0,284.0,38.0,86.0,19.0,56.0,265.0,380.0,3.0,277.0,244.0,94.0,52.0,140.0,438.0,207.0,280.0,128.0,41.0,18.0,56.0,61.0,14.0,37.0,122.0,75.0,8.0,49.0,131.0,34.0,37.0,14.0,4.0,15.0,9.0,9.0,16.0,,,,,1.0,
like,29495.0,5241.0,22918.0,5643.0,2313.0,595.0,827.0,326.0,459.0,18904.0,20845.0,64.0,3733.0,2547.0,1536.0,641.0,1242.0,9926.0,2376.0,6319.0,1622.0,941.0,503.0,608.0,472.0,258.0,592.0,3372.0,697.0,401.0,715.0,1387.0,719.0,430.0,115.0,179.0,210.0,252.0,246.0,456.0,88.0,13.0,28.0,,48.0,
remember,3498.0,596.0,1917.0,700.0,321.0,76.0,107.0,64.0,57.0,576.0,649.0,5.0,452.0,294.0,197.0,103.0,177.0,601.0,259.0,364.0,157.0,58.0,84.0,96.0,70.0,20.0,83.0,222.0,105.0,38.0,120.0,216.0,144.0,56.0,9.0,57.0,11.0,20.0,19.0,52.0,3.0,1.0,1.0,,,
cut,1421.0,267.0,540.0,104.0,133.0,30.0,19.0,5.0,31.0,621.0,597.0,12.0,308.0,133.0,165.0,6.0,51.0,175.0,53.0,133.0,39.0,35.0,82.0,22.0,13.0,18.0,22.0,80.0,51.0,12.0,7.0,34.0,26.0,9.0,1.0,23.0,5.0,7.0,4.0,15.0,2.0,1.0,2.0,,1.0,
look,8095.0,1213.0,4911.0,1294.0,632.0,177.0,173.0,92.0,161.0,2647.0,2805.0,5.0,1097.0,643.0,417.0,184.0,381.0,1499.0,616.0,1061.0,329.0,192.0,121.0,95.0,150.0,116.0,117.0,473.0,325.0,71.0,217.0,371.0,219.0,124.0,48.0,34.0,35.0,56.0,35.0,62.0,14.0,2.0,17.0,,4.0,2.0
boys,1536.0,259.0,1152.0,170.0,184.0,19.0,30.0,12.0,67.0,506.0,596.0,,135.0,126.0,82.0,24.0,50.0,236.0,34.0,405.0,39.0,24.0,23.0,32.0,33.0,10.0,10.0,199.0,53.0,6.0,22.0,107.0,22.0,8.0,,10.0,,10.0,,8.0,,,,2.0,1.0,
care,3741.0,494.0,1957.0,520.0,249.0,92.0,151.0,30.0,74.0,588.0,778.0,13.0,432.0,256.0,259.0,91.0,191.0,821.0,293.0,497.0,98.0,91.0,50.0,76.0,56.0,33.0,55.0,170.0,110.0,29.0,117.0,121.0,93.0,27.0,10.0,21.0,10.0,54.0,23.0,43.0,3.0,2.0,3.0,,,
stuck,802.0,146.0,502.0,107.0,57.0,18.0,8.0,3.0,10.0,314.0,371.0,1.0,86.0,52.0,65.0,6.0,12.0,137.0,29.0,110.0,19.0,11.0,17.0,30.0,10.0,5.0,6.0,69.0,11.0,7.0,3.0,14.0,15.0,6.0,1.0,7.0,6.0,5.0,1.0,9.0,,,2.0,,,
together,3120.0,502.0,2199.0,727.0,207.0,61.0,102.0,33.0,75.0,579.0,718.0,6.0,400.0,229.0,142.0,63.0,122.0,753.0,435.0,580.0,132.0,97.0,71.0,76.0,62.0,31.0,61.0,316.0,101.0,46.0,141.0,210.0,148.0,109.0,21.0,19.0,16.0,25.0,17.0,35.0,6.0,,1.0,3.0,4.0,
always,8144.0,1379.0,4704.0,1567.0,675.0,169.0,260.0,69.0,103.0,1256.0,1589.0,18.0,1094.0,757.0,459.0,128.0,273.0,1331.0,582.0,995.0,386.0,144.0,134.0,202.0,92.0,59.0,106.0,503.0,217.0,75.0,206.0,391.0,140.0,145.0,56.0,55.0,78.0,89.0,51.0,85.0,15.0,1.0,4.0,,1.0,
oh,26644.0,4868.0,22753.0,6018.0,2135.0,533.0,560.0,205.0,474.0,4571.0,6852.0,14.0,2448.0,2037.0,794.0,732.0,1380.0,7386.0,3245.0,6668.0,1584.0,850.0,270.0,511.0,505.0,379.0,646.0,3193.0,496.0,323.0,876.0,1565.0,859.0,477.0,150.0,26.0,163.0,242.0,184.0,168.0,56.0,36.0,18.0,,13.0,
quite,733.0,153.0,423.0,124.0,78.0,8.0,28.0,27.0,18.0,94.0,99.0,1.0,80.0,43.0,23.0,8.0,29.0,103.0,35.0,74.0,22.0,10.0,7.0,13.0,20.0,9.0,3.0,32.0,34.0,1.0,9.0,40.0,5.0,11.0,4.0,3.0,,4.0,1.0,2.0,,,,,,
jumped,107.0,20.0,82.0,24.0,10.0,1.0,,1.0,5.0,81.0,81.0,,12.0,10.0,3.0,7.0,11.0,20.0,7.0,28.0,1.0,3.0,2.0,,4.0,2.0,1.0,5.0,3.0,2.0,1.0,6.0,,1.0,,,,,,3.0,,,,,,
43,16.0,2.0,1.0,,,,,,,1.0,1.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wild,1689.0,218.0,861.0,222.0,166.0,10.0,40.0,10.0,34.0,345.0,393.0,16.0,405.0,215.0,43.0,75.0,76.0,214.0,62.0,279.0,11.0,15.0,8.0,9.0,37.0,24.0,43.0,120.0,56.0,5.0,15.0,69.0,19.0,8.0,,5.0,3.0,,10.0,6.0,,,,,,
raised,275.0,25.0,109.0,44.0,34.0,7.0,2.0,1.0,8.0,156.0,163.0,1.0,53.0,61.0,20.0,2.0,27.0,29.0,10.0,37.0,33.0,7.0,4.0,2.0,4.0,3.0,,8.0,12.0,,,6.0,4.0,4.0,1.0,,,2.0,,3.0,,,2.0,,1.0,
wolves,199.0,40.0,33.0,7.0,9.0,5.0,,,,27.0,25.0,1.0,85.0,3.0,21.0,3.0,,6.0,2.0,4.0,3.0,1.0,2.0,3.0,,,,9.0,1.0,1.0,,1.0,,,,,,,,,,,,,,
beasts,51.0,4.0,5.0,3.0,3.0,,,,1.0,7.0,9.0,,22.0,7.0,3.0,,,,,,4.0,,1.0,,,1.0,,,2.0,,,1.0,,,,1.0,,,1.0,,,,,,,
tell,10842.0,1546.0,7507.0,2000.0,855.0,223.0,311.0,130.0,174.0,3460.0,4523.0,12.0,1377.0,894.0,508.0,276.0,625.0,3052.0,1008.0,1903.0,498.0,267.0,147.0,212.0,153.0,132.0,219.0,922.0,367.0,84.0,311.0,499.0,377.0,178.0,66.0,52.0,78.0,132.0,49.0,77.0,29.0,14.0,9.0,,,
time,23001.0,3143.0,12420.0,3719.0,1759.0,366.0,539.0,191.0,460.0,4647.0,5517.0,58.0,4077.0,1881.0,1398.0,495.0,1015.0,4302.0,1850.0,2767.0,986.0,569.0,403.0,384.0,362.0,266.0,321.0,1412.0,812.0,192.0,509.0,915.0,626.0,452.0,79.0,88.0,104.0,262.0,145.0,153.0,62.0,3.0,18.0,1.0,9.0,
mad,840.0,93.0,578.0,147.0,78.0,7.0,30.0,21.0,39.0,734.0,661.0,4.0,149.0,60.0,41.0,29.0,55.0,262.0,33.0,90.0,16.0,18.0,3.0,18.0,9.0,5.0,4.0,46.0,55.0,11.0,11.0,30.0,20.0,6.0,1.0,2.0,,33.0,8.0,11.0,4.0,1.0,1.0,,,
got,23047.0,3654.0,15399.0,3665.0,1620.0,551.0,591.0,102.0,299.0,13387.0,14792.0,29.0,2441.0,1912.0,1137.0,618.0,1666.0,7004.0,2111.0,4263.0,705.0,814.0,206.0,405.0,406.0,376.0,399.0,2293.0,470.0,245.0,659.0,1110.0,818.0,468.0,147.0,69.0,60.0,276.0,75.0,299.0,51.0,2.0,15.0,2.0,21.0,6.0
plans,379.0,90.0,258.0,98.0,29.0,4.0,22.0,1.0,7.0,83.0,117.0,1.0,37.0,44.0,12.0,2.0,19.0,78.0,50.0,52.0,28.0,29.0,6.0,9.0,8.0,4.0,9.0,35.0,13.0,6.0,11.0,20.0,10.0,12.0,3.0,,9.0,3.0,2.0,,1.0,,4.0,,,
better,6692.0,978.0,4569.0,1187.0,480.0,133.0,134.0,44.0,96.0,2042.0,2502.0,13.0,803.0,540.0,436.0,131.0,292.0,1705.0,529.0,959.0,263.0,129.0,161.0,127.0,81.0,39.0,190.0,575.0,164.0,58.0,168.0,287.0,127.0,148.0,48.0,55.0,30.0,68.0,41.0,107.0,9.0,,18.0,,4.0,
sure,2195.0,323.0,1264.0,400.0,221.0,43.0,74.0,24.0,43.0,492.0,596.0,6.0,266.0,324.0,106.0,75.0,180.0,474.0,250.0,263.0,67.0,88.0,27.0,53.0,35.0,49.0,41.0,143.0,60.0,24.0,64.0,115.0,55.0,30.0,4.0,14.0,14.0,16.0,9.0,30.0,10.0,1.0,1.0,,,
hear,6694.0,862.0,3262.0,1033.0,582.0,128.0,177.0,89.0,115.0,1298.0,1536.0,29.0,1304.0,570.0,305.0,172.0,283.0,1052.0,516.0,767.0,463.0,168.0,105.0,99.0,115.0,91.0,50.0,399.0,215.0,30.0,164.0,312.0,159.0,66.0,46.0,34.0,37.0,60.0,52.0,60.0,21.0,,6.0,,2.0,
yeah,17114.0,2419.0,14358.0,3163.0,659.0,459.0,151.0,45.0,128.0,7941.0,9540.0,5.0,1763.0,1071.0,518.0,418.0,1188.0,6112.0,2460.0,4397.0,625.0,980.0,143.0,294.0,450.0,286.0,355.0,1723.0,294.0,133.0,344.0,1014.0,537.0,297.0,105.0,24.0,101.0,126.0,25.0,85.0,37.0,1.0,36.0,,29.0,
man,8619.0,1180.0,3780.0,1254.0,1192.0,111.0,307.0,55.0,203.0,5082.0,4983.0,38.0,1496.0,1171.0,377.0,347.0,858.0,1966.0,718.0,632.0,439.0,302.0,44.0,69.0,269.0,141.0,75.0,456.0,411.0,54.0,196.0,259.0,788.0,189.0,45.0,51.0,2.0,160.0,45.0,120.0,,2.0,2.0,,3.0,
king,1736.0,157.0,525.0,254.0,157.0,36.0,26.0,23.0,17.0,682.0,636.0,2.0,493.0,151.0,57.0,34.0,135.0,181.0,128.0,59.0,332.0,22.0,7.0,26.0,35.0,9.0,10.0,45.0,79.0,5.0,54.0,49.0,51.0,10.0,24.0,4.0,6.0,2.0,7.0,7.0,,2.0,,,1.0,
swingers,6.0,,3.0,,,,,,1.0,3.0,1.0,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
jungle,195.0,13.0,68.0,22.0,21.0,8.0,38.0,5.0,1.0,142.0,116.0,,31.0,12.0,2.0,17.0,24.0,64.0,17.0,20.0,1.0,16.0,1.0,,,,,14.0,29.0,3.0,1.0,14.0,10.0,1.0,13.0,,,1.0,1.0,1.0,,,,,,
reached,213.0,43.0,87.0,30.0,13.0,,4.0,3.0,8.0,34.0,44.0,1.0,50.0,18.0,14.0,3.0,7.0,35.0,7.0,11.0,16.0,3.0,6.0,1.0,3.0,2.0,4.0,7.0,7.0,,4.0,2.0,3.0,1.0,,1.0,,,2.0,,,,,,,
top,1202.0,178.0,980.0,143.0,81.0,20.0,26.0,14.0,19.0,1225.0,1296.0,2.0,175.0,103.0,99.0,25.0,91.0,620.0,69.0,200.0,67.0,37.0,30.0,25.0,19.0,18.0,16.0,115.0,14.0,12.0,14.0,74.0,32.0,12.0,33.0,4.0,4.0,18.0,6.0,34.0,,1.0,,,1.0,
stop,4945.0,812.0,3423.0,721.0,194.0,52.0,121.0,29.0,146.0,2103.0,2395.0,9.0,729.0,236.0,308.0,114.0,228.0,1482.0,497.0,902.0,226.0,258.0,104.0,79.0,73.0,49.0,128.0,472.0,150.0,46.0,136.0,228.0,157.0,66.0,36.0,42.0,39.0,40.0,11.0,47.0,8.0,10.0,3.0,,7.0,2.0
whats,3648.0,480.0,1877.0,487.0,241.0,112.0,65.0,24.0,67.0,1498.0,1607.0,5.0,589.0,184.0,255.0,43.0,141.0,822.0,216.0,393.0,136.0,96.0,65.0,37.0,32.0,31.0,21.0,278.0,99.0,22.0,55.0,146.0,50.0,31.0,12.0,21.0,15.0,23.0,14.0,19.0,,,5.0,,1.0,
wanna,11207.0,1752.0,10733.0,2479.0,534.0,158.0,149.0,40.0,123.0,5014.0,6800.0,12.0,1116.0,522.0,512.0,132.0,431.0,4680.0,1440.0,3350.0,507.0,528.0,82.0,340.0,92.0,125.0,472.0,1738.0,83.0,82.0,340.0,852.0,308.0,181.0,112.0,79.0,65.0,97.0,10.0,164.0,38.0,2.0,14.0,1.0,5.0,
stroll,55.0,10.0,27.0,6.0,8.0,4.0,2.0,2.0,,30.0,26.0,,3.0,2.0,,2.0,,7.0,8.0,2.0,2.0,2.0,3.0,,,1.0,,4.0,1.0,,1.0,5.0,1.0,1.0,,,,1.0,,,,,,,,
right,12087.0,1532.0,7878.0,2310.0,784.0,241.0,299.0,89.0,159.0,3974.0,4908.0,12.0,1587.0,1146.0,708.0,279.0,704.0,3538.0,1318.0,2153.0,461.0,384.0,156.0,195.0,177.0,130.0,285.0,1071.0,321.0,81.0,359.0,718.0,423.0,190.0,84.0,51.0,46.0,116.0,58.0,93.0,21.0,15.0,,,4.0,2.0
town,2898.0,543.0,1361.0,456.0,461.0,41.0,141.0,68.0,79.0,415.0,469.0,,268.0,478.0,90.0,95.0,206.0,278.0,176.0,212.0,43.0,19.0,20.0,51.0,40.0,46.0,7.0,102.0,54.0,20.0,33.0,89.0,42.0,27.0,25.0,3.0,6.0,12.0,16.0,10.0,1.0,4.0,6.0,,,
men,1059.0,166.0,445.0,105.0,206.0,7.0,55.0,25.0,24.0,257.0,275.0,7.0,300.0,117.0,44.0,17.0,45.0,151.0,91.0,66.0,75.0,27.0,6.0,10.0,28.0,8.0,5.0,26.0,47.0,21.0,45.0,23.0,23.0,7.0,1.0,3.0,,4.0,18.0,4.0,,,,,,
tired,1449.0,271.0,788.0,214.0,141.0,37.0,35.0,5.0,16.0,264.0,359.0,6.0,191.0,109.0,81.0,44.0,102.0,249.0,114.0,172.0,59.0,17.0,30.0,20.0,28.0,17.0,15.0,75.0,63.0,10.0,22.0,33.0,31.0,31.0,8.0,6.0,8.0,13.0,4.0,11.0,1.0,,,,,
around,9413.0,1469.0,4999.0,1531.0,800.0,212.0,225.0,70.0,175.0,2036.0,2441.0,22.0,1058.0,840.0,394.0,216.0,458.0,1744.0,662.0,969.0,387.0,183.0,111.0,133.0,137.0,133.0,87.0,493.0,301.0,85.0,191.0,365.0,159.0,163.0,43.0,39.0,31.0,95.0,33.0,91.0,18.0,1.0,3.0,3.0,2.0,4.0
walk,4180.0,568.0,2021.0,628.0,360.0,77.0,107.0,46.0,55.0,799.0,962.0,4.0,628.0,408.0,187.0,133.0,232.0,694.0,345.0,447.0,267.0,64.0,53.0,43.0,45.0,37.0,42.0,190.0,145.0,56.0,120.0,143.0,131.0,76.0,19.0,15.0,20.0,20.0,34.0,22.0,6.0,2.0,3.0,,2.0,
talk,3072.0,507.0,2131.0,488.0,207.0,45.0,72.0,13.0,51.0,1233.0,1324.0,2.0,323.0,216.0,120.0,48.0,145.0,777.0,309.0,571.0,102.0,81.0,20.0,69.0,33.0,32.0,24.0,168.0,99.0,15.0,80.0,132.0,94.0,26.0,8.0,6.0,7.0,25.0,16.0,31.0,5.0,1.0,2.0,,2.0,
see,21134.0,3224.0,12116.0,3277.0,1750.0,361.0,505.0,217.0,328.0,6581.0,7494.0,55.0,3799.0,1440.0,1259.0,403.0,780.0,4522.0,1762.0,2827.0,1270.0,477.0,361.0,270.0,318.0,214.0,303.0,1454.0,766.0,256.0,565.0,995.0,602.0,335.0,131.0,125.0,102.0,162.0,157.0,308.0,39.0,14.0,30.0,,36.0,2.0
true,3488.0,432.0,1899.0,741.0,293.0,61.0,163.0,73.0,57.0,598.0,770.0,7.0,570.0,424.0,147.0,194.0,203.0,680.0,362.0,473.0,202.0,108.0,42.0,55.0,79.0,39.0,34.0,286.0,90.0,34.0,152.0,232.0,140.0,38.0,31.0,29.0,26.0,39.0,31.0,34.0,,8.0,1.0,,,
ape,41.0,8.0,15.0,6.0,2.0,1.0,,,2.0,15.0,11.0,,2.0,1.0,,,6.0,5.0,,5.0,,1.0,,,,,,2.0,,,,1.0,,,1.0,,,1.0,,,,,,,,
learn,1443.0,199.0,748.0,218.0,101.0,11.0,29.0,20.0,21.0,228.0,273.0,6.0,217.0,128.0,64.0,17.0,40.0,221.0,87.0,169.0,75.0,34.0,10.0,20.0,17.0,11.0,18.0,81.0,50.0,10.0,47.0,63.0,37.0,24.0,5.0,15.0,2.0,4.0,6.0,6.0,,,1.0,,,
human,996.0,153.0,282.0,68.0,67.0,11.0,7.0,1.0,27.0,103.0,118.0,11.0,317.0,21.0,78.0,8.0,15.0,70.0,26.0,76.0,29.0,10.0,5.0,1.0,13.0,4.0,2.0,50.0,49.0,1.0,11.0,28.0,24.0,11.0,,12.0,,7.0,1.0,7.0,,,,,,
try,5602.0,844.0,3301.0,928.0,387.0,165.0,127.0,45.0,87.0,1492.0,1656.0,7.0,853.0,342.0,371.0,90.0,197.0,964.0,460.0,768.0,163.0,96.0,98.0,85.0,107.0,51.0,98.0,386.0,181.0,77.0,167.0,236.0,176.0,101.0,32.0,36.0,43.0,106.0,28.0,73.0,17.0,2.0,4.0,,2.0,
kid,728.0,158.0,265.0,69.0,65.0,10.0,13.0,6.0,7.0,565.0,545.0,,54.0,73.0,51.0,4.0,20.0,113.0,18.0,48.0,18.0,10.0,10.0,27.0,4.0,1.0,,29.0,23.0,3.0,4.0,19.0,35.0,2.0,6.0,2.0,,4.0,,3.0,,,2.0,,1.0,
made,4745.0,828.0,2563.0,837.0,489.0,70.0,130.0,40.0,59.0,1459.0,1492.0,7.0,700.0,504.0,256.0,102.0,222.0,903.0,405.0,606.0,323.0,123.0,93.0,78.0,70.0,55.0,63.0,333.0,148.0,44.0,155.0,201.0,68.0,82.0,19.0,23.0,22.0,45.0,34.0,48.0,6.0,,,,,
deal,442.0,76.0,271.0,47.0,43.0,18.0,10.0,1.0,4.0,423.0,441.0,,88.0,49.0,28.0,7.0,28.0,161.0,30.0,50.0,13.0,24.0,6.0,8.0,1.0,6.0,7.0,26.0,21.0,11.0,5.0,7.0,35.0,9.0,2.0,,,5.0,2.0,4.0,6.0,,,,,
desire,842.0,121.0,263.0,78.0,37.0,12.0,19.0,5.0,18.0,32.0,50.0,1.0,261.0,34.0,33.0,17.0,23.0,79.0,62.0,57.0,52.0,26.0,12.0,3.0,24.0,9.0,29.0,37.0,19.0,14.0,26.0,20.0,10.0,6.0,3.0,9.0,3.0,2.0,8.0,4.0,,,,,,
mans,365.0,63.0,152.0,77.0,84.0,11.0,5.0,,14.0,179.0,161.0,6.0,110.0,63.0,24.0,11.0,27.0,57.0,45.0,22.0,14.0,18.0,1.0,1.0,23.0,5.0,1.0,6.0,26.0,1.0,13.0,30.0,13.0,4.0,4.0,3.0,,1.0,1.0,1.0,,,,,,
red,1988.0,254.0,732.0,199.0,201.0,43.0,47.0,17.0,61.0,573.0,517.0,25.0,510.0,218.0,88.0,31.0,130.0,241.0,110.0,150.0,25.0,54.0,14.0,20.0,55.0,45.0,24.0,77.0,86.0,20.0,29.0,65.0,48.0,16.0,3.0,42.0,18.0,12.0,12.0,11.0,,4.0,,,,
fire,4665.0,661.0,2502.0,612.0,274.0,63.0,76.0,13.0,32.0,679.0,710.0,75.0,1415.0,279.0,186.0,41.0,190.0,465.0,244.0,494.0,265.0,78.0,86.0,39.0,37.0,92.0,128.0,374.0,136.0,47.0,84.0,132.0,227.0,73.0,11.0,66.0,22.0,33.0,35.0,14.0,11.0,2.0,,,5.0,
make,14176.0,1917.0,10843.0,2732.0,949.0,256.0,367.0,112.0,237.0,5634.0,6968.0,26.0,1864.0,959.0,868.0,281.0,561.0,4669.0,1712.0,2802.0,695.0,608.0,257.0,260.0,204.0,175.0,266.0,1510.0,402.0,134.0,450.0,794.0,424.0,278.0,80.0,105.0,70.0,96.0,82.0,160.0,31.0,3.0,15.0,1.0,9.0,6.0
dream,4207.0,616.0,2091.0,655.0,384.0,97.0,240.0,74.0,78.0,461.0,580.0,7.0,813.0,419.0,153.0,129.0,179.0,624.0,359.0,510.0,161.0,73.0,50.0,52.0,52.0,37.0,53.0,324.0,200.0,42.0,161.0,168.0,113.0,87.0,29.0,27.0,30.0,23.0,26.0,30.0,9.0,5.0,17.0,,,
come,17345.0,2649.0,10062.0,2858.0,1481.0,376.0,537.0,225.0,282.0,4364.0,5200.0,55.0,2817.0,1418.0,690.0,480.0,986.0,3801.0,1552.0,2381.0,1134.0,583.0,216.0,237.0,319.0,252.0,349.0,1419.0,510.0,193.0,436.0,797.0,861.0,363.0,89.0,145.0,66.0,208.0,117.0,148.0,21.0,7.0,2.0,3.0,14.0,
give,9767.0,1233.0,6380.0,1941.0,567.0,169.0,280.0,66.0,150.0,3057.0,3798.0,44.0,1436.0,643.0,549.0,202.0,407.0,2686.0,968.0,1608.0,694.0,357.0,129.0,130.0,134.0,96.0,155.0,1016.0,281.0,127.0,213.0,419.0,444.0,170.0,55.0,46.0,57.0,107.0,26.0,99.0,34.0,,4.0,,3.0,4.0
secret,794.0,99.0,433.0,101.0,53.0,21.0,19.0,15.0,30.0,81.0,102.0,1.0,162.0,53.0,35.0,7.0,12.0,131.0,56.0,105.0,42.0,29.0,12.0,8.0,10.0,11.0,9.0,52.0,26.0,3.0,29.0,78.0,19.0,5.0,25.0,7.0,8.0,5.0,7.0,7.0,,2.0,,,,
clue,149.0,28.0,110.0,34.0,8.0,8.0,2.0,,4.0,75.0,80.0,1.0,24.0,9.0,6.0,,4.0,26.0,9.0,14.0,2.0,4.0,1.0,12.0,,1.0,,8.0,6.0,,1.0,18.0,2.0,1.0,,,,2.0,,3.0,,,,,,
power,1540.0,89.0,482.0,109.0,50.0,11.0,11.0,15.0,32.0,302.0,342.0,7.0,577.0,41.0,64.0,9.0,48.0,282.0,106.0,118.0,250.0,129.0,6.0,22.0,39.0,11.0,6.0,130.0,80.0,13.0,49.0,63.0,50.0,25.0,31.0,14.0,5.0,9.0,24.0,7.0,,,,,1.0,
flower,218.0,41.0,124.0,55.0,50.0,5.0,20.0,3.0,12.0,25.0,33.0,,34.0,25.0,4.0,1.0,13.0,37.0,20.0,51.0,6.0,10.0,3.0,,12.0,3.0,5.0,15.0,12.0,,7.0,10.0,3.0,3.0,,3.0,7.0,1.0,3.0,10.0,,,,,1.0,
check,465.0,64.0,364.0,60.0,18.0,7.0,14.0,7.0,7.0,1126.0,1102.0,,50.0,18.0,27.0,5.0,26.0,282.0,51.0,75.0,22.0,57.0,4.0,3.0,5.0,2.0,22.0,134.0,4.0,11.0,21.0,28.0,36.0,5.0,11.0,,,7.0,1.0,37.0,,,,,,
get,20816.0,3243.0,15502.0,3501.0,1351.0,442.0,507.0,136.0,273.0,13470.0,15261.0,30.0,2391.0,1523.0,1217.0,437.0,1228.0,6802.0,1954.0,4648.0,714.0,818.0,244.0,353.0,341.0,325.0,464.0,2689.0,588.0,186.0,432.0,1052.0,746.0,343.0,106.0,144.0,76.0,201.0,60.0,330.0,55.0,3.0,13.0,1.0,19.0,
