,Rock,Indie,Pop,Romantic,Folk,Grunge,Jazz,Classic,New Wave,Rap,Hip Hop,Metal,Heavy Metal,Country,Hardcore,Rockabilly,Blues,R&B,Soul,Dance,Gospel,Funk,Emocore,Punk,Psychedelic music,Classic Rock,House,Electronica,Progressive Music,Trip-Hop,Disco,Soundtack,Reggae,Surf Music,Children's music,Industrial,Trance,Ska,Instrumental,Chillout,Tropical House,Post-Rock,Lo-fi,Black Music,Reggaeton,World Music
gander,6.0,,2.0,,,2.0,,,,2.0,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
enchant,9.0,1.0,,2.0,,1.0,2.0,,,,,,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
morns,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
char,2.0,,3.0,1.0,,1.0,2.0,,,1.0,,,1.0,,,,2.0,,2.0,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,
incantations,13.0,1.0,1.0,,,1.0,,,,,,1.0,7.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
torched,5.0,1.0,,,,1.0,,,,,,,2.0,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
hex,8.0,1.0,2.0,3.0,,2.0,,,,2.0,3.0,,7.0,1.0,3.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skating,35.0,4.0,27.0,2.0,,1.0,,,1.0,4.0,6.0,,6.0,,4.0,,,2.0,,2.0,,1.0,,1.0,,2.0,,1.0,1.0,,,,,,,,,,1.0,,,,,,,
murmur,11.0,,2.0,5.0,1.0,,3.0,2.0,1.0,1.0,1.0,,4.0,1.0,1.0,,,2.0,2.0,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,
escapees,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
voyagers,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meanest,19.0,4.0,5.0,,5.0,1.0,2.0,,,5.0,4.0,,1.0,2.0,,1.0,1.0,,,,,,,,,1.0,,,,,2.0,,,,,,,1.0,,,,,,,,
13,36.0,4.0,5.0,6.0,3.0,3.0,3.0,,,19.0,17.0,,9.0,3.0,1.0,,1.0,3.0,1.0,1.0,2.0,,,,,,,2.0,2.0,,,,1.0,,,,,,,1.0,,,,,,
states,80.0,24.0,10.0,6.0,4.0,6.0,,1.0,,31.0,27.0,,22.0,2.0,5.0,,2.0,10.0,6.0,2.0,,1.0,1.0,3.0,1.0,,,2.0,6.0,,,3.0,3.0,2.0,1.0,1.0,,,1.0,,,,,,,
creates,11.0,4.0,4.0,2.0,2.0,1.0,,,,4.0,2.0,,9.0,,2.0,,,3.0,3.0,2.0,1.0,1.0,,,1.0,,,,1.0,,3.0,,,,,,,,,,,,,,,
caus,6.0,,9.0,,,,,,,3.0,4.0,,1.0,,,,,1.0,,,,,,,,,,,8.0,,,1.0,,,1.0,,,,,,,,,,,
pinch,23.0,8.0,17.0,6.0,7.0,,,3.0,1.0,11.0,9.0,,4.0,3.0,,,,4.0,1.0,4.0,1.0,1.0,,,,,,,,1.0,,1.0,1.0,1.0,,,,,3.0,,,,,,,
shimmering,27.0,7.0,5.0,,2.0,,2.0,,,,,1.0,5.0,2.0,1.0,,,,,6.0,,,1.0,,1.0,,5.0,7.0,2.0,,,,3.0,,,1.0,,,,,,,,,,
ho,484.0,39.0,324.0,92.0,32.0,17.0,34.0,11.0,5.0,593.0,560.0,,18.0,19.0,20.0,22.0,21.0,154.0,39.0,63.0,16.0,54.0,3.0,15.0,6.0,6.0,2.0,22.0,8.0,32.0,18.0,83.0,1.0,12.0,8.0,,2.0,1.0,,19.0,,,,,,
blaming,26.0,5.0,11.0,2.0,1.0,,,,1.0,3.0,3.0,,5.0,,2.0,,1.0,4.0,3.0,2.0,,,3.0,,,,3.0,4.0,,,1.0,1.0,,,,,,,,3.0,,,,,,
despair,282.0,23.0,77.0,12.0,16.0,3.0,6.0,5.0,2.0,15.0,12.0,3.0,99.0,1.0,31.0,2.0,7.0,21.0,22.0,3.0,6.0,3.0,8.0,1.0,3.0,2.0,2.0,7.0,13.0,1.0,4.0,4.0,4.0,1.0,,3.0,,,6.0,,,,,,,
senator,12.0,,1.0,1.0,1.0,,,,,1.0,2.0,,2.0,,2.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
rays,81.0,10.0,26.0,4.0,8.0,3.0,,1.0,1.0,3.0,8.0,,27.0,2.0,7.0,,,12.0,4.0,10.0,7.0,3.0,1.0,,,,1.0,15.0,4.0,1.0,1.0,,1.0,1.0,,,6.0,,1.0,,,,,,,
clapping,33.0,6.0,4.0,1.0,2.0,1.0,,1.0,,14.0,11.0,,2.0,4.0,1.0,,,3.0,,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
confuses,9.0,3.0,,,1.0,,,,,,,,1.0,,,,2.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
isles,8.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,
mangled,11.0,4.0,,,,,,,,3.0,3.0,,10.0,,,,,,,1.0,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,
aging,15.0,2.0,8.0,2.0,5.0,,3.0,,,3.0,2.0,,5.0,2.0,2.0,,,,,1.0,2.0,1.0,,,6.0,,,1.0,2.0,,,3.0,,,,,,,,,,,,,,
affected,13.0,3.0,10.0,2.0,,,,,,7.0,7.0,,2.0,1.0,,,,3.0,1.0,2.0,2.0,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,
